product_id,cover_url,avail_ids,avail_urls
114047937,https://cdn.modesens.com/availability/zimmermann-maxine-plunge-cami-purple-paisley-99592913?w=400,a101786090;a99592913;a103812214;a99849935,https://modesens.cn/product/avail/101786090/getlink/;https://modesens.cn/product/avail/99592913/getlink/;https://modesens.cn/product/avail/103812214/getlink/;https://modesens.cn/product/avail/99849935/getlink/
114047937,https://cdn.modesens.com/availability/zimmermann-maxine-plunge-cami-purple-paisley-99592913?w=400,a101786090;a99592913;a103812214;a99849935,https://modesens.cn/product/avail/101786090/getlink/;https://modesens.cn/product/avail/99592913/getlink/;https://modesens.cn/product/avail/103812214/getlink/;https://modesens.cn/product/avail/99849935/getlink/
111077217,https://cdn.modesens.com/availability/chloe-logo-necklace-gold-90342416?w=400,a101850302;a90342416;a104973199;a102767998,https://modesens.cn/product/avail/101850302/getlink/;https://modesens.cn/product/avail/90342416/getlink/;https://modesens.cn/product/avail/104973199/getlink/;https://modesens.cn/product/avail/102767998/getlink/
61813409,https://cdn.modesens.com/availability/khaite-marcy-ballet-flats-black-90658669?w=400,a101763939;a79213814;a79803870;a103811646,https://modesens.cn/product/avail/101763939/getlink/;https://modesens.cn/product/avail/79213814/getlink/;https://modesens.cn/product/avail/79803870/getlink/;https://modesens.cn/product/avail/103811646/getlink/
113925039,https://cdn.modesens.com/availability/alaia-women-le-coeur-pvc-and-patent-leather-slingback-106949615?w=400,a101764889;a99164278;a102524823;a87087799,https://modesens.cn/product/avail/101764889/getlink/;https://modesens.cn/product/avail/99164278/getlink/;https://modesens.cn/product/avail/102524823/getlink/;https://modesens.cn/product/avail/87087799/getlink/
21867537,https://cdn.modesens.com/availability/38256841?w=400,a68404917;a51726957;a62219554;a37662568,https://modesens.cn/product/avail/68404917/getlink/;https://modesens.cn/product/avail/51726957/getlink/;https://modesens.cn/product/avail/62219554/getlink/;https://modesens.cn/product/avail/37662568/getlink/
113698088,https://cdn.modesens.com/availability/isabel-marant-knee-high-leather-boots-with-buckle-detail-106724366?w=400,,
111950705,https://cdn.modesens.com/availability/balmain-women-high-waist-buttoned-mini-skirt-multicolor-104988929?w=400,a80405219;a103896764;a69874059;a97938609,https://modesens.cn/product/avail/80405219/getlink/;https://modesens.cn/product/avail/103896764/getlink/;https://modesens.cn/product/avail/69874059/getlink/;https://modesens.cn/product/avail/97938609/getlink/
112051678,https://cdn.modesens.com/availability/zimmermann-printed-linen-blend-crush-skirt-pinklaceprint-105090404?w=400,a100038486;a103814170;a99685670;a98834696,https://modesens.cn/product/avail/100038486/getlink/;https://modesens.cn/product/avail/103814170/getlink/;https://modesens.cn/product/avail/99685670/getlink/;https://modesens.cn/product/avail/98834696/getlink/
108256149,https://cdn.modesens.com/availability/zimmermann-maxi-skirt-with-ruffles-for-women-white-101319870?w=400,a101784840;a100067257;a97128955;a100601202,https://modesens.cn/product/avail/101784840/getlink/;https://modesens.cn/product/avail/100067257/getlink/;https://modesens.cn/product/avail/97128955/getlink/;https://modesens.cn/product/avail/100601202/getlink/
