product_id,similar_product_ids
111926408,110580167;106410638;111131421;104974422;103170623
112525737,108458589;112472338;112273904;111891293;110879246
105444977,110966361;108256117;103267994;113809073;106158279
111924521,112368227;110580167;106227983;111935247;111891293
108458589,112525737;112472338;112273904;111891293;110879246
110724587,110580167;111926408;109988857;112343975;111374452
111374452,111916277;106394213;112343975;102696971;110724587
102696971,111087068;105016447;106720657;103267994;104544389
113682155,108747020;110580167;103170623;106394213;111926058
112343975,112472338;110879246;107499479;110814159;102696971
106158279,107499479;110814159;13171580;110966361;114081140
112445887,111793979;104974422;107499479;105016447;106231674
104974422,107499479;112625366;105016447;112445887;104544389
106394213,111719964;111916277;59061055;109733924;61813409
111087070,106394213;109831109;112525737;93256733;111237792
110814159,112472338;107499479;102696971;106720657;109831109
111051124,105465877;110954577;111926408;103170623;109733924
111950715,111719964;111374484;13171580;114081140;110081737
107499479,111719964;103412036;104974422;111793979;112625366
110966361,112368227;111891293;111496675;111935247;111374602
104636801,114293226;113925039;106720657;93943053;106660557
114081140,111719964;110422188;110422188;111924406;111924406
108940913,112445887;108256117;111077217;93943053;111926408
104032530,106394213;108303461;112445887;112525737;114079485
112472338,112273904;111891293;103412036;112625366;110879246
112586307,106804599;111935247;110814159;114081140;110294183
11975124,111131421;102696971;111374484;106720657;111924521
104544389,110422188;110422188;106720657;107499479;111374465
104556167,110954577;106231674;103170623;111793979;111077217
106227983,110580167;112368227;105465877;111891293;110422188
112193587,110954577;105016447;103412036;111793979;102697060
105994490,104040586;105016447;112445887;11132898;111077201
104040586,110954577;113925039;111131421;108256149;106231674
102361431,105942761;105942761;114293226;111131421;104636801
111374602,102697060;110081737;106843567;108747020;107497280
104021431,107499479;111793979;102696971;111926058;102361431
111719964,106657391;106394213;112625366;59061055;107499479
107497280,108747020;111891293;108188134;111924406;106843567
111793979,111087068;112625366;107499479;105016447;111926058
103412036,110580167;112472338;107499479;112625366;111131421
110922970,110954577;109988857;108747020;111924406;111924406
109831109,110215554;61813409;113809073;111926058;110814159
